식당명,음식,주소,gyung,wedo
이로하,오꼬노미야끼 몬자야끼,도쿄도 츄오구 츠키시마 3-4-5,0,0
구자상회,에키벤,도쿄도 치요다구 마루노우치 1-9-1,0,0
대길고추불고기,고추장 불고기,부산 금정구 장전동 360-5,129.083837893156,35.2291532498043
경주집,오리불고기,부산 금정구 청룡동 465-1,129.077086560553,35.2789627793872
장군멸치회촌,멸치찌개,부산 기장군 기장읍 대변리 325-4,129.230568130328,35.2246769560317
대남포장집,문어숙회,부산 남구 대연동 37-1,129.106219636667,35.1389392851901
모짜르트,경양식,부산 남구 대연동 965-2,129.092758909308,35.1277184105719
내호냉면,냉면,부산 남구 우암2동 189,0,0
범일빈대떡,해물파전,부산 동구 범일동 85-2,129.056225945942,35.1395770149363
신발원,고기만두,부산 동구 초량동 561,0,0
소문난 원조조방낙지,낙곱새,부산 동래구 명륜동 400-1,129.083908784439,35.2039933653112
소문난동래파전,파전,부산 동래구 온천1동 208-8,129.078420387372,35.2185017476091
회국수할매집,회국수,부산 부산진구 부전1동 486-1,129.057571863939,35.1582179827292
기장손칼국수,냉칼국수,부산 부산진구 부전동 256-6,129.058140350756,35.155625680893
대박터진돈까스,돈까스,부산 북구 만덕2동 848,129.03772312881,35.2085563287725
원조범일동 매떡,매운떡볶이,부산 분산진구 범천1동 844-35,0,0
복성반점,짬뽕,부산 사하구 하단동 403-1,128.967358727299,35.1029704102112
맛나기사식당,대구탕,부산 서구 동대신동1가 389,129.020438901534,35.1080674058243
매드독스피자앤파스타,시카고 피자,부산 수영구 민락동 179-3,129.119747818904,35.1547595765287
할매집,고갈비,부산 중구 광복동2가 2-106,0,0
김해식당,아귀수육,부산 중구 남포동5가 68,0,0
백화양곱창,양곱창,부산 중구 남포동6가 32,129.027008947,35.0969381112316
화국반점,탕수육,부산 중구 동광동3가 3-1,0,0
고향김치전골,김치전골,부산 중구 부평동1가 29-15,129.026542513798,35.1005618807806
